"conditions.gener.","conditions.ens.","conditions.rech.","conditions.admin.","conditions.relmem.","conditions.relaut.","conditions.carri.","conditions.remun.","conditions.equil.","evolution.gener.","evolution.ens.","evolution.rech.","evolution.admin.","evolution.relmem.","evolution.relaut.","evolution.carri.","evolution.remun.","evolution.equil.","optimisme.gener.","optimisme.ens.","optimisme.rech.","optimisme.admin.","optimisme.relmem.","optimisme.relaut.","optimisme.carri.","optimisme.remun.","optimisme.equil.","confiance.Etat.","confiance.MESRI.","confiance.ParitairesNat.","confiance.CNU.","confiance.CoNRS.","confiance.ANR.","confiance.HCERES.","confiance.ONR.","confiance.FU.","confiance.UDICE.","confiance.AUREF.","confiance.Territoire.","confiance.Presidences.","confiance.Conseils.","confiance.ParitairesLocales.","confiance.Dircomp.","PCinquietude.clim.","PCinquietude.eco.","PCinquietude.diplo.","PCinquietude.pol.","PCimpact.clim.","PCimpact.eco.","PCimpact.diplo.","PCimpact.pol.","PCeffort.clim.","PCeffort.eco.","PCeffort.diplo.","PCeffort.pol.","socle.satisfaction.","socle.bonheur.","socle.sens.","socle.valo.","socle.capretraite.","socle.souretraite.","socle.confiance.","sexe","age","anciennete","metier","discipline","categorie","statut","responsabilites"
"8","7","8","3","10 - Tout à fait satisfaisantes","8","8","3","10 - Tout à fait satisfaisantes","5 - Stable","4","5 - Stable","0 - Rapide dégradation","5 - Stable","5 - Stable","5 - Stable","6","5 - Stable","5 - Neutre","5 - Neutre","5 - Neutre","0 - Sans espoir","5 - Neutre","5 - Neutre","2","2","5 - Neutre","0 - Pas du tout","2","Ne connais pas","10 - Totalement","9","4","6","5","Ne connais pas","5","Ne connais pas","2","5","5","Ne connais pas","10 - Totalement","10 - Tout à fait","5","8","5","10 - Tout à fait","7","5","7","8",NA,NA,NA,"10 - Totalement","10 - Totalement","10 - Totalement","5 - Neutre","8","10 - Totalement","0 - Pas du tout","Féminin","De 45 à 54 ans","De 20 à 29 ans","Personnel de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'une direction au niveau national ou d'un ministère"
"8","7","7","6","9","9","8","8","8","4","4","4","4","5 - Stable","5 - Stable","5 - Stable","4","5 - Stable","3","3","3","3","5 - Neutre","5 - Neutre","3","3","4","5","5","7","7","Ne connais pas","2","2","5","Ne connais pas","Ne connais pas","Ne connais pas","1","5","5","5","8","10 - Tout à fait","10 - Tout à fait","9","9","5","8","5","7","3","5","5","5","7","8","8","6","5 - Neutre","5 - Neutre","6","Féminin","De 45 à 54 ans","De 20 à 29 ans","Personnel de recherche","Santé","MCF, CR, PRAG, PRCE ou assimilé","Sous contrat CDI","Membre d'un conseil de composante ou laboratoire"
"5",NA,NA,"5","8","8","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","9","3",NA,NA,"3","5 - Stable","5 - Stable","3","3","5 - Stable","5 - Neutre",NA,NA,"5 - Neutre","5 - Neutre","5 - Neutre","0 - Sans espoir","0 - Sans espoir","5 - Neutre","5","5","Ne connais pas","5","Ne connais pas","5","5","5","Ne connais pas","Ne connais pas","Ne connais pas","7","6","5","5","9","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","3","10 - Tout à fait","7","9","2","1","5","5","6","6","3","2","0 - Pas du tout","0 - Pas du tout","6","Féminin","De 25 à 34 ans","Moins de 5 ans","Personnel techno-scientifique","Santé","BIATSS catégorie A ou assimilé","Sous contrat CDD","Aucune de ces responsabilités"
"6",NA,NA,"5","3","6","6","3","8","6","6","5 - Stable","4","4","7","6","3","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,"5","5","8","7","8","8","5","3",NA,"4","3","5 - Stable","5 - Stable","5 - Stable","6","4","2",NA,"2","2","5 - Neutre","4","5 - Neutre","5 - Neutre","5 - Neutre","2","2","5","5","10 - Totalement","5","0 - Pas du tout","2","0 - Pas du tout","0 - Pas du tout","Ne connais pas","4","0 - Pas du tout","Ne connais pas","Ne connais pas","4","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","5","10 - Tout à fait","5","5","5","5","4","8","8","5 - Neutre","8","8","8","Masculin","De 45 à 54 ans","De 10 à 19 ans","Personnel de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'un conseil de composante ou laboratoire"
"4","5","4","0 - Pas du tout satisfaisantes","10 - Tout à fait satisfaisantes","7","5","4","4","0 - Rapide dégradation","4","3","0 - Rapide dégradation","5 - Stable","5 - Stable","5 - Stable","5 - Stable","4","1","1","1","0 - Sans espoir","5 - Neutre","5 - Neutre","1","1","5 - Neutre","0 - Pas du tout","0 - Pas du tout","Ne connais pas","Ne connais pas","Ne connais pas","5","5","5","Ne connais pas","Ne connais pas","Ne connais pas","Ne connais pas","5","5","5","5","10 - Tout à fait","9","10 - Tout à fait","9","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","7","8","9","0 - Pas du tout","2","2","4","Féminin","De 45 à 54 ans","De 20 à 29 ans","Personnel de recherche","Santé","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'une instance nationale"
"7",NA,"7","3","8","7","6","4","4","3",NA,"4","1","5 - Stable","5 - Stable","4","3","5 - Stable","5 - Neutre",NA,"3","2","10 - Serein","10 - Serein","5 - Neutre","4","5 - Neutre","0 - Pas du tout","0 - Pas du tout",NA,NA,NA,NA,"4","2",NA,NA,NA,"6","3",NA,NA,"9","10 - Tout à fait","8","6","6","10 - Tout à fait","8","5","5","2","2","5","3","7","7","9","4","5 - Neutre","5 - Neutre","7","Masculin","De 35 à 44 ans","De 10 à 19 ans","Personnel de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
"5","8","3","4","10 - Tout à fait satisfaisantes","3","6","7","10 - Tout à fait satisfaisantes","0 - Rapide dégradation","5 - Stable","0 - Rapide dégradation","3","5 - Stable","0 - Rapide dégradation","5 - Stable","5 - Stable","7","5 - Neutre","10 - Serein","2","5 - Neutre","10 - Serein","2","5 - Neutre","5 - Neutre","5 - Neutre","0 - Pas du tout","4","Ne connais pas","5","5","5","6","9","5","3","3","9","6","6","10 - Totalement","9","10 - Tout à fait","6","6","10 - Tout à fait","7","8","0 - Pas du tout","8","6","5","5","5","5 - Neutre","5 - Neutre","3","3","5 - Neutre","5 - Neutre","6","Féminin","De 35 à 44 ans","De 10 à 19 ans","Personnel de recherche","Santé","BIATSS catégorie A ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
"7",NA,"7","4","9","9","4","5","7","5 - Stable",NA,"5 - Stable","2","5 - Stable","5 - Stable","5 - Stable","6","5 - Stable","4",NA,"4","1","5 - Neutre","5 - Neutre","5 - Neutre","5 - Neutre","5 - Neutre","4","5","Ne connais pas","Ne connais pas","Ne connais pas","5","7","7","Ne connais pas","Ne connais pas","Ne connais pas","3","6","5","5","10 - Totalement","10 - Tout à fait","7","7","9","8","8","3","8","3","5","5","3","7","7","10 - Totalement","6","7","8","7","Féminin","De 25 à 34 ans","Moins de 5 ans","Personnel de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","Doctorant, post-doctorant, ATER, ATEN, vacataire ou assimilé","Sous contrat CDD","Membre d'un conseil de composante ou laboratoire"
"3","10 - Tout à fait satisfaisantes","4","7","1","9","0 - Pas du tout satisfaisantes","3","4","5 - Stable","5 - Stable","4","2","5 - Stable","5 - Stable","5 - Stable","6","4","0 - Sans espoir","5 - Neutre","0 - Sans espoir","5 - Neutre","5 - Neutre","5 - Neutre","0 - Sans espoir","2","0 - Sans espoir","0 - Pas du tout","5","5","7","6","2","9","9","8","Ne connais pas","Ne connais pas","0 - Pas du tout","6","Ne connais pas","Ne connais pas","3","10 - Tout à fait","3","6","10 - Tout à fait","10 - Tout à fait","2","1","7","2","8","5","2","4","8","6","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","8","Féminin","De 25 à 34 ans","Moins de 5 ans","Personnel de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","Doctorant, post-doctorant, ATER, ATEN, vacataire ou assimilé","Sous contrat CDD","Aucune de ces responsabilités"
"6","8","5","3","9","4","5","4","7","5 - Stable","5 - Stable","3","3","5 - Stable","4","4","4","5 - Stable","2","3","1","1","5 - Neutre","5 - Neutre","4","3","5 - Neutre","5","5","4","4","Ne connais pas","5","3","7","7","7","Ne connais pas","6","4","Ne connais pas","Ne connais pas","6","9","8","5","3","3","7","4","7","1","4","7","8","3","5 - Neutre","2","7","5 - Neutre","3","5 - Neutre","Masculin","De 25 à 34 ans","Moins de 5 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","Doctorant, post-doctorant, ATER, ATEN, vacataire ou assimilé","Sous contrat CDD","Aucune de ces responsabilités"
"2","2","3","2","6","6","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","4","2","2","2","2","4","4","5 - Stable","5 - Stable","5 - Stable","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","5 - Neutre","5 - Neutre","0 - Sans espoir","0 - Sans espoir","5 - Neutre","1","1","6","0 - Pas du tout","2","0 - Pas du tout","0 - Pas du tout","5","Ne connais pas","0 - Pas du tout","0 - Pas du tout","2","0 - Pas du tout","0 - Pas du tout","6","5","10 - Tout à fait","9","9","9","10 - Tout à fait","8","5","9","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","6","6","8","2","5 - Neutre","9","5 - Neutre","Masculin","De 45 à 54 ans","De 20 à 29 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
"4","2","3","2","8","6","6","8","5","4","3","3","2","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","3","0 - Sans espoir","2","2","5 - Neutre","5 - Neutre","5 - Neutre","5 - Neutre","4","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","7","7","7","5","7","Ne connais pas","Ne connais pas","Ne connais pas","Ne connais pas","1","1","2","6","8","3","3","10 - Tout à fait","0 - Pas du tout","6","0 - Pas du tout","10 - Tout à fait","3","3","3","3","4","6","5 - Neutre","5 - Neutre","4","2","8","Masculin","De 35 à 44 ans","De 5 à 9 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Responsable pédagogique"
"0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","2","1","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","1","1","1","0 - Rapide dégradation","0 - Rapide dégradation","1","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","1","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","1","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","1","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","10 - Tout à fait","7","7","2","9","8","4","6","4","0 - Pas du tout","0 - Pas du tout","1","2","3","7","1","1","1","5 - Neutre","Féminin","De 45 à 54 ans","De 20 à 29 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Responsable pédagogique"
"5","2","4","0 - Pas du tout satisfaisantes","3","3","0 - Pas du tout satisfaisantes","5","5","2","2","2","0 - Rapide dégradation","2","2","2","2","2","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Pas du tout","0 - Pas du tout","3","5","5","0 - Pas du tout","2","2","Ne connais pas","Ne connais pas","Ne connais pas","0 - Pas du tout","0 - Pas du tout","1","2","4","10 - Tout à fait","5","10 - Tout à fait","10 - Tout à fait","3","8","8","10 - Tout à fait","7","3","0 - Pas du tout","0 - Pas du tout","5 - Neutre","5 - Neutre","5 - Neutre","0 - Pas du tout","7","5 - Neutre","7","Masculin","De 45 à 54 ans","De 20 à 29 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Responsable pédagogique"
"8",NA,NA,"5","9","2","8","2","5","5 - Stable",NA,NA,"5 - Stable","5 - Stable","5 - Stable","5 - Stable","4","5 - Stable","2",NA,NA,"2","5 - Neutre","2","2","1","5 - Neutre","2","2","4",NA,NA,NA,NA,NA,NA,NA,NA,"2","4","4","4","6","8","9","4","6","1","7","0 - Pas du tout","1","1","2",NA,NA,"8","9","6","5 - Neutre","10 - Totalement","3","5 - Neutre","Masculin","De 55 à 64 ans","De 30 à 39 ans","Personnel de bibliothéque","Non-applicable à votre métier","BIATSS catégorie A ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
"4",NA,NA,"2","4",NA,"1","1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","7","8","5","10 - Tout à fait satisfaisantes","7","5","3","7","4","4","2","2","5 - Stable","4","4","3","5 - Stable","5 - Neutre","4","4","3","2","7","3","4","5 - Neutre","3","2","7","9","5","3","3","4","6","3","3","2","4","2","6","9","9","7","7","6","8","6","2","4","5","7","7","7","9","10 - Totalement","8","7","9","8","7","Masculin","De 35 à 44 ans","De 10 à 19 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Responsable pédagogique"
"5","4","6","5","6","6","3","7","8","4","3","6","5 - Stable","5 - Stable","5 - Stable","4","5 - Stable","5 - Stable","1","1","1","1","5 - Neutre","5 - Neutre","1","1","5 - Neutre","0 - Pas du tout","2","3","4","1","1","1","1","3","1","1","3","5","6","7","10 - Totalement","8","8","8","8","2","8","3","8","6","5","7","4","7","8","6","3","3","6","6","Masculin","De 35 à 44 ans","De 20 à 29 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'un conseil de composante ou laboratoire"
"7",NA,NA,"6","8","5","0 - Pas du tout satisfaisantes","4","4","5 - Stable",NA,NA,"5 - Stable","7","5 - Stable","4","4","4","2",NA,NA,"2","5 - Neutre","5 - Neutre","1","1","1","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","5","5","7","7","7","7","2","2","2","2",NA,NA,NA,NA,"4","8","8","5 - Neutre","4","2","5 - Neutre","Masculin","De 55 à 64 ans","De 20 à 29 ans","Personnel d'ingénieurie",NA,"BIATSS catégorie A ou assimilé","Titulaire d'un poste de la fonction publique",NA
"5","2","7","0 - Pas du tout satisfaisantes","5","5","7","8","8","2","0 - Rapide dégradation","3","0 - Rapide dégradation","5 - Stable","5 - Stable","7","5 - Stable","5 - Stable","2","2","6","4","5 - Neutre","5 - Neutre","7","7","5 - Neutre","3","3","6","10 - Totalement","10 - Totalement","6","8","10 - Totalement","2","0 - Pas du tout","Ne connais pas","4","2","2","7","9","10 - Tout à fait","8","4","5","6","6","3","3","4","4",NA,NA,"8","8","8","3","8","8","8","Féminin","De 55 à 64 ans","De 30 à 39 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'une instance nationale"
"6",NA,"6","4","9","9","2","2","2","2",NA,"2","2","5 - Stable","5 - Stable","2","2","2","7",NA,"4","3","5 - Neutre","5 - Neutre","2","2","2","0 - Pas du tout","2","0 - Pas du tout","Ne connais pas","9","4","0 - Pas du tout","5","Ne connais pas","0 - Pas du tout","Ne connais pas","0 - Pas du tout","6","6","8","10 - Totalement","10 - Tout à fait","10 - Tout à fait","8","8","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","7","7","3","1","0 - Pas du tout","0 - Pas du tout","8","Féminin","De 45 à 54 ans","De 20 à 29 ans","Personnel de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'un conseil de composante ou laboratoire"
"2","3","1","0 - Pas du tout satisfaisantes","6","6","2","8","3","2","3","1","0 - Rapide dégradation","5 - Stable","5 - Stable","3","4","3","3","2","2","2","5 - Neutre","5 - Neutre","3","3","4","1","0 - Pas du tout","3","5","7","2","0 - Pas du tout","3","0 - Pas du tout","0 - Pas du tout","Ne connais pas","2","1","1","5","8","9","7","4","6","7","6","0 - Pas du tout","0 - Pas du tout","5","4","5","5","6","6","4","1","0 - Pas du tout","5 - Neutre","4","Masculin","De 45 à 54 ans","De 20 à 29 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'une direction de composante ou laboratoire"
"7",NA,NA,"3","9","7","2","4","8","5 - Stable",NA,NA,"3","8","7","2","4","9","5 - Neutre",NA,NA,"0 - Sans espoir","10 - Serein","8","1","3","9","0 - Pas du tout","3",NA,NA,"Ne connais pas","Ne connais pas",NA,NA,NA,NA,"Ne connais pas","3","8",NA,"4","2","10 - Tout à fait","3","7","8","10 - Tout à fait","4","2","9","7","7","5",NA,"7","7","8","2","8","8","7","Masculin","De 35 à 44 ans","Moins de 5 ans","Personnel de bibliothéque","Santé","BIATSS catégorie B ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
"6",NA,"7","2","7","7","4","1","5","5 - Stable",NA,"5 - Stable","2","5 - Stable","5 - Stable","2","2","5 - Stable","5 - Neutre",NA,"4","2","5 - Neutre","5 - Neutre","2","2","5 - Neutre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","8","8","8","6","7","7","6","6","5","6",NA,"6","5 - Neutre","6","7",NA,NA,"8",NA,NA,NA,"Personnel d'ingénieurie",NA,NA,NA,NA
"4","2","6","0 - Pas du tout satisfaisantes","6","6","5","8","8","5 - Stable","4","6","2","5 - Stable","5 - Stable","5 - Stable","6","5 - Stable","1","1","1","1","5 - Neutre","5 - Neutre","1","5 - Neutre","3","0 - Pas du tout","0 - Pas du tout","Ne connais pas","Ne connais pas","Ne connais pas","1","3","6","Ne connais pas","Ne connais pas","Ne connais pas","3","5","5","Ne connais pas","7","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","4","8","5","10 - Tout à fait","0 - Pas du tout","1","0 - Pas du tout","0 - Pas du tout","7","6","9","9","2","10 - Totalement","3","Féminin","De 25 à 34 ans","De 5 à 9 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
"0 - Pas du tout satisfaisantes","1","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","2","2","0 - Pas du tout satisfaisantes","1","0 - Pas du tout satisfaisantes","3","3","1","1","5 - Stable","5 - Stable","3","3","3","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","5 - Neutre","5 - Neutre","0 - Sans espoir","0 - Sans espoir","5 - Neutre","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","Ne connais pas","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","Ne connais pas","Ne connais pas","Ne connais pas","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","Ne connais pas","0 - Pas du tout","10 - Tout à fait","7","0 - Pas du tout","0 - Pas du tout","10 - Tout à fait","8","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout",NA,NA,"2",NA,"0 - Pas du tout","0 - Pas du tout","5 - Neutre","2","5 - Neutre","Masculin","De 55 à 64 ans","De 30 à 39 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
"6",NA,"4","2","5","5","5","3","2","3",NA,"2","2","4","3","4","3","5 - Stable","2","2","2","2","3","3","3","2","3","0 - Pas du tout","0 - Pas du tout","5","5","8","0 - Pas du tout","0 - Pas du tout","2","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","2","0 - Pas du tout","0 - Pas du tout","2","8","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","7","9","5","8","3","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","7","7","6","7","9","9","8","Masculin","De 55 à 64 ans","De 30 à 39 ans","Personnel de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'une instance nationale"
"4","3","4","4","5","5","6","6","0 - Pas du tout satisfaisantes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"7","6","9","9","3","5","5","5 - Stable",NA,"5 - Stable","3","5 - Stable","5 - Stable","3","6","6","9","4","6","3","9","9","1","6","6","1","2","2","4","3","4","7","6","6","6","6","6","9","9","9","9","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","6","10 - Tout à fait","6","10 - Tout à fait","4","3","3","3","7","6","8","7","8","8","2","Féminin","De 25 à 34 ans","Moins de 5 ans","Personnel de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","Doctorant, post-doctorant, ATER, ATEN, vacataire ou assimilé","Sous contrat CDD","Aucune de ces responsabilités"
"8",NA,"6","5","8","6","7","7","5","8",NA,"6","5 - Stable","8","6","7","7","5 - Stable","8","5 - Neutre","6","5 - Neutre","8","6","7","7","5 - Neutre","2","3","4","4","5","6","6","6","4","5","4","5","6","5","5","8","7","7","4","6","7","7","3","6","6","4","4","1","8","9","10 - Totalement","8","10 - Totalement","9","8","Féminin","De 55 à 64 ans","De 30 à 39 ans","Personnel de recherche","Santé","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'une direction de composante ou laboratoire"
"9","9","9","8","8","8","9","6","9","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","6","2","5 - Stable","4","8","8","5 - Neutre","5 - Neutre","5 - Neutre","5 - Neutre","2","5 - Neutre","3","3",NA,NA,NA,NA,"3","6",NA,"Ne connais pas","Ne connais pas","6","9","8","8","9","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","9","6","7","8","4","6","4","4","8","8","9","6","9","9","4","Féminin","De 35 à 44 ans","Moins de 5 ans","Personnel de bibliothéque","Non-applicable à votre métier","BIATSS catégorie A ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'une direction de composante ou laboratoire"
"6","5","4","3","5","5","5","4","7","4","3","3","3","4","4","4","3","8","4","5 - Neutre","5 - Neutre","4","5 - Neutre","5 - Neutre","5 - Neutre","4","6","3","3","6","6","5","5","6","5","6","4","5","6","5","6","6","3","9","8","7","8","7","7","6","8","7","6","7","6","7","7","8","8","10 - Totalement","10 - Totalement","6","Masculin","De 55 à 64 ans","De 30 à 39 ans","Personnel d'enseignement et de recherche","DEG - Droit, Economie, Gestion","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'une direction de composante ou laboratoire"
"6","6","7","4","8","7","1","5","3","4","4","4","4","5 - Stable","6","2","6","6","2","2","2","3","5 - Neutre","5 - Neutre","0 - Sans espoir","5 - Neutre","5 - Neutre","2","3","Ne connais pas","Ne connais pas","6","4","4","4","Ne connais pas","Ne connais pas","Ne connais pas","1","6","6","6","7","8","9","9","8","9","10 - Tout à fait","9","10 - Tout à fait","6","6","1","1","6","6","9","4","5 - Neutre","6","7","Masculin","De 45 à 54 ans","De 10 à 19 ans","Personnel de bibliothéque","DEG - Droit, Economie, Gestion","BIATSS catégorie B ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
"6","1","6","2","9","10 - Tout à fait satisfaisantes","2","4","3","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","2","2","2","2","5 - Stable","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","5 - Neutre","5 - Neutre","0 - Pas du tout","0 - Pas du tout","10 - Totalement","10 - Totalement","10 - Totalement","5","5","5","5","Ne connais pas","Ne connais pas","8","10 - Totalement","9","8","9","6","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","10 - Tout à fait","10 - Tout à fait","2","8","7","9",NA,"9","7","7","7","8","10 - Totalement","2","8","Masculin","De 45 à 54 ans","De 10 à 19 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'une instance nationale"
"7","5","7","4","8","7","5","5","6","4","4","4","3","5 - Stable","5 - Stable","5 - Stable","5 - Stable","6","5 - Neutre","4","4","3","4","3","4","4","5 - Neutre","Ne connais pas","2","Ne connais pas","Ne connais pas","Ne connais pas","Ne connais pas","Ne connais pas","6","Ne connais pas","Ne connais pas","Ne connais pas","5","7","8","8","9","10 - Tout à fait","7","0 - Pas du tout","8","8","8","0 - Pas du tout","5","1","1","0 - Pas du tout","7","8","10 - Totalement","10 - Totalement","9","7","1","9","Féminin","De 45 à 54 ans","De 20 à 29 ans","Personnel d'ingénieurie","Santé","BIATSS catégorie B ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
